2019-06-23 00:57:39.563411	https://www.encodeproject.org/report/?type=File&lab.title=ENCODE+Processing+Pipeline&status=released&assembly=GRCh38&field=%40id&field=accession&field=dataset&field=assembly&field=output_type&field=technical_replicates&field=biological_replicates&field=href&file_format=bed&output_type%21=peaks&output_type%21=conservative+idr+thresholded+peaks&output_type%21=replicated+peaks&output_type%21=sequence+alignability&output_type%21=methylation+state+at+CpG&output_type%21=methylation+state+at+CHH&output_type%21=methylation+state+at+CHG&output_type%21=enrichment&output_type%21=hotspots&output_type%21=pseudoreplicated+idr+thresholded+peaks&output_type%21=stable+peaks&output_type%21=transcription+start+sites&limit=all
ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL
/files/ENCFF042FXY/	ENCFF042FXY	/experiments/ENCSR799GOY/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF042FXY/@@download/ENCFF042FXY.bed.gz
/files/ENCFF042OZE/	ENCFF042OZE	/experiments/ENCSR706BJO/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF042OZE/@@download/ENCFF042OZE.bed.gz
/files/ENCFF043HHG/	ENCFF043HHG	/experiments/ENCSR138SFL/	GRCh38	optimal idr thresholded peaks	1_1,3_1	1,3	/files/ENCFF043HHG/@@download/ENCFF043HHG.bed.gz
/files/ENCFF043QFM/	ENCFF043QFM	/experiments/ENCSR804HMZ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF043QFM/@@download/ENCFF043QFM.bed.gz
/files/ENCFF044DFE/	ENCFF044DFE	/experiments/ENCSR000ECQ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF044DFE/@@download/ENCFF044DFE.bed.gz
/files/ENCFF044HQV/	ENCFF044HQV	/experiments/ENCSR528PSI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF044HQV/@@download/ENCFF044HQV.bed.gz
/files/ENCFF045FIY/	ENCFF045FIY	/experiments/ENCSR020UPN/	GRCh38	optimal idr thresholded peaks	2_1,3_1	2,3	/files/ENCFF045FIY/@@download/ENCFF045FIY.bed.gz
/files/ENCFF045KYK/	ENCFF045KYK	/experiments/ENCSR000EFT/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF045KYK/@@download/ENCFF045KYK.bed.gz
/files/ENCFF045YGV/	ENCFF045YGV	/experiments/ENCSR711UOA/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF045YGV/@@download/ENCFF045YGV.bed.gz
/files/ENCFF046BRP/	ENCFF046BRP	/experiments/ENCSR389BLX/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF046BRP/@@download/ENCFF046BRP.bed.gz
/files/ENCFF046HDT/	ENCFF046HDT	/experiments/ENCSR446LAV/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF046HDT/@@download/ENCFF046HDT.bed.gz
/files/ENCFF046NUR/	ENCFF046NUR	/experiments/ENCSR066FXN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF046NUR/@@download/ENCFF046NUR.bed.gz
/files/ENCFF046ODH/	ENCFF046ODH	/experiments/ENCSR571PDN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF046ODH/@@download/ENCFF046ODH.bed.gz
/files/ENCFF047AWC/	ENCFF047AWC	/experiments/ENCSR033NQK/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF047AWC/@@download/ENCFF047AWC.bed.gz
/files/ENCFF047UIF/	ENCFF047UIF	/experiments/ENCSR000DYI/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF047UIF/@@download/ENCFF047UIF.bed.gz
/files/ENCFF048AYA/	ENCFF048AYA	/experiments/ENCSR815ZDS/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF048AYA/@@download/ENCFF048AYA.bed.gz
/files/ENCFF048BGI/	ENCFF048BGI	/experiments/ENCSR137ZMQ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF048BGI/@@download/ENCFF048BGI.bed.gz
/files/ENCFF048YCA/	ENCFF048YCA	/experiments/ENCSR441KFW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF048YCA/@@download/ENCFF048YCA.bed.gz
/files/ENCFF049LZC/	ENCFF049LZC	/experiments/ENCSR000EFM/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF049LZC/@@download/ENCFF049LZC.bed.gz
/files/ENCFF049NRL/	ENCFF049NRL	/experiments/ENCSR219MKK/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF049NRL/@@download/ENCFF049NRL.bed.gz
