ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL	linecount
/files/ENCFF023BIN/	ENCFF023BIN	/experiments/ENCSR776MDR/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023BIN/@@download/ENCFF023BIN.bed.gz	13238
/files/ENCFF023HXN/	ENCFF023HXN	/experiments/ENCSR000EXX/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF023HXN/@@download/ENCFF023HXN.bed.gz	300000
/files/ENCFF023RJC/	ENCFF023RJC	/experiments/ENCSR000DRZ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023RJC/@@download/ENCFF023RJC.bed.gz	41495
/files/ENCFF023XHV/	ENCFF023XHV	/experiments/ENCSR742IDN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023XHV/@@download/ENCFF023XHV.bed.gz	15672
/files/ENCFF023XYC/	ENCFF023XYC	/experiments/ENCSR000EZW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF023XYC/@@download/ENCFF023XYC.bed.gz	300000
/files/ENCFF023YOW/	ENCFF023YOW	/experiments/ENCSR000ECE/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF023YOW/@@download/ENCFF023YOW.bed.gz	300000
/files/ENCFF023ZUW/	ENCFF023ZUW	/experiments/ENCSR000BMW/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF023ZUW/@@download/ENCFF023ZUW.bed.gz	14614
/files/ENCFF024AEU/	ENCFF024AEU	/experiments/ENCSR000BIL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF024AEU/@@download/ENCFF024AEU.bed.gz	300000
/files/ENCFF024KFH/	ENCFF024KFH	/experiments/ENCSR435OQD/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF024KFH/@@download/ENCFF024KFH.bed.gz	300000
/files/ENCFF024QKK/	ENCFF024QKK	/experiments/ENCSR808FFI/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF024QKK/@@download/ENCFF024QKK.bed.gz	19039
/files/ENCFF024TJO/	ENCFF024TJO	/experiments/ENCSR000BMH/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF024TJO/@@download/ENCFF024TJO.bed.gz	29751
/files/ENCFF025SMR/	ENCFF025SMR	/experiments/ENCSR934JDG/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF025SMR/@@download/ENCFF025SMR.bed.gz	14432
/files/ENCFF027UTC/	ENCFF027UTC	/experiments/ENCSR586DEH/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF027UTC/@@download/ENCFF027UTC.bed.gz	14015
/files/ENCFF028IIR/	ENCFF028IIR	/experiments/ENCSR000DNC/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF028IIR/@@download/ENCFF028IIR.bed.gz	47869
/files/ENCFF029DNH/	ENCFF029DNH	/experiments/ENCSR497IAS/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF029DNH/@@download/ENCFF029DNH.bed.gz	1524
/files/ENCFF029UJC/	ENCFF029UJC	/experiments/ENCSR029LBT/	GRCh38	optimal idr thresholded peaks	3_1,4_1	3,4	/files/ENCFF029UJC/@@download/ENCFF029UJC.bed.gz	9479
